sample_id,timestamp_s,clock_bias_s,clock_drift_s_per_s,ephemeris_error_m
0,0,9.934e-09,9.931e-11,0.032384
1,900,9.5864e-08,9.862e-11,0.027451
2,1800,1.6211e-07,1.0298e-10,0.054172
3,2700,2.05942e-07,9.576e-11,0.091519
4,3600,2.63658e-07,8.703e-11,0.063754
5,4500,3.10194e-07,8.963e-11,0.198341
6,5400,3.64523e-07,8.533e-11,0.285414
7,6300,4.37773e-07,9.002e-11,0.166769
8,7200,4.89112e-07,8.716e-11,0.202258
9,8100,5.63084e-07,8.014e-11,0.262579
10,9000,5.96727e-07,8.86e-11,0.289103
11,9900,6.38192e-07,7.93e-11,0.236391
12,10800,7.11284e-07,6.091e-11,0.233591
13,11700,7.55777e-07,6.963e-11,0.306002
14,12600,7.9104e-07,5.937e-11,0.215852
15,13500,8.17073e-07,5.325e-11,0.33002
16,14400,8.72898e-07,4.118e-11,0.276012
17,15300,8.89171e-07,4.084e-11,0.26859
18,16200,9.445e-07,4.292e-11,0.170171
19,17100,9.40746e-07,3.38e-11,0.231406
20,18000,9.56342e-07,2.495e-11,0.094683
21,18900,9.56861e-07,2.357e-11,0.182617
22,19800,9.90005e-07,1.807e-11,0.095728
23,20700,9.84957e-07,8.35e-12,0.11606
24,21600,9.99283e-07,7.82e-12,-0.130987
25,22500,1.014297e-06,-6.11e-12,-0.054108
26,23400,9.9328e-07,-2.299e-11,-0.088629
27,24300,9.87928e-07,-1.212e-11,-0.140719
28,25200,9.49756e-07,-2.839e-11,-0.10423
29,26100,9.53505e-07,-3.479e-11,-0.156965
30,27000,9.25821e-07,-3.343e-11,-0.247235
31,27900,8.90319e-07,-4.619e-11,-0.311182
32,28800,8.71948e-07,-4.869e-11,-0.259552
33,29700,8.26778e-07,-6.263e-11,-0.298196
34,30600,7.86499e-07,-6.489e-11,-0.297842
35,31500,7.59921e-07,-5.65e-11,-0.288705
36,32400,7.12258e-07,-7.108e-11,-0.395939
37,33300,6.58816e-07,-7.488e-11,-0.174271
38,34200,6.04914e-07,-7.783e-11,-0.291513
39,35100,5.32197e-07,-7.743e-11,-0.239567
40,36000,5.15821e-07,-9.115e-11,-0.189668
41,36900,4.14252e-07,-8.675e-11,-0.128483
42,37800,3.62873e-07,-9.522e-11,-0.207149
43,38700,3.1137e-07,-1.0245e-10,-0.1792
44,39600,2.37573e-07,-9.422e-11,-0.195971
45,40500,2.26089e-07,-1.0199e-10,-0.130908
46,41400,1.46797e-07,-1.053e-10,-0.066273
47,42300,9.1546e-08,-1.0782e-10,-0.029926
48,43200,5.198e-09,-9.609e-11,-0.061848
49,44100,-9.1812e-08,-9.718e-11,0.054007
